step,avg_opinion,polarization,emotional_contagion,message_count,negative_emotion,distortion_level,cross_group_forward,intervention_tick,recovery_time,cross_group_spread,intra_group_forward,lateral_forward,upward_forward,downward_forward,group_negative_max,group_heat_max,mute_count,active_mutes,n_intervened_groups,wall_hour,time_slot,time_mu_factor,avg_opinion_ORDINARY,avg_opinion_ACTIVE,avg_opinion_RATIONAL,avg_opinion_CONTROLLER,neg_emotion_ORDINARY,neg_emotion_ACTIVE,neg_emotion_RATIONAL,neg_emotion_CONTROLLER,group_heat_DORM,group_heat_CLASS,group_heat_MAJOR,group_heat_CAMPUS,group_neg_DORM,group_neg_CLASS,group_neg_MAJOR,group_neg_CAMPUS
0,-0.13416341545885588,0.48192730054986516,0.0,6,0.5816324554818959,0.1642023690194299,4,-1.0,-1.0,0,1,1,3,0,0.36,0.7072655857970153,0,0,0,9.0,morning_class,0.5625,0.01182325068348963,-0.7142568191158747,-0.11296833022073796,-0.5971717600363736,0.5502387926167815,0.6071385228673812,0.6201535116159641,0.7373609720181435,0.004632051050827672,0.7072655857970153,0.015452051551379263,0.03024711435539798,0.0,0.36,0.0,0.0
1,-0.17416341545885589,0.5241271606938205,0.04907118828560316,14,0.6811013250398863,0.3140496379589419,11,-1.0,1.0,0,2,1,6,4,0.5452538649157564,0.6354979420000276,0,0,0,10.0,morning_class,0.5625,-0.002462463602224669,-0.8142568191158747,-0.21296833022073797,-0.6971717600363736,0.6310289495795354,0.7799672671815256,0.7431636835524861,0.8706796526081033,0.008658192931543133,0.6354979420000276,0.06660755125237298,0.07126199430391457,0.3716260988707407,0.5452538649157564,0.368000545453794,0.3738167347549541
2,-0.23416341545885588,0.5607223774642701,0.04670029437988031,21,0.7746222353277777,0.4481713654679848,17,2.0,1.0,0,3,2,7,8,0.6670039114557398,0.5218689819373717,0,0,1,11.0,morning_class,0.5625,-0.045319606459367535,-0.9142568191158746,-0.312968330220738,-0.7971717600363736,0.7116617853314912,0.9259660266302421,0.8511098102426177,0.987514019084479,0.01679346920064759,0.5218689819373717,0.07433814037393528,0.11406110570669395,0.5619091294223103,0.6670039114557398,0.5784202026322387,0.5674021434035981
3,-0.27773773354726844,0.6164501609248222,0.05386883378188182,29,0.8517554216099562,0.7131631858201445,24,2.0,1.0,0,4,3,9,12,0.7428867616188258,0.43751687839690206,0,0,3,12.0,lunch,0.6125,-0.06674817788793895,-1.0,-0.412968330220738,-0.8971717600363736,0.79354923270581,1.0,0.9627095871588909,1.0,0.024465516231274822,0.43751687839690206,0.08552934695929856,0.11432306518626806,0.7032474307918661,0.7428867616188258,0.6972968791085672,0.6770552473065802
4,-0.3077377335472684,0.6720346952962758,0.04251182517746024,36,0.8926329564127681,0.8910224347436649,30,2.0,1.0,0,5,3,12,15,0.8125871993528115,0.3537663143836375,0,0,3,13.0,lunch,0.6125,-0.08103389217365321,-1.0,-0.512968330220738,-0.9971717600363735,0.8548716392916903,1.0,1.0,0.9422280890858488,0.021057664967614957,0.3537663143836375,0.10168334387801102,0.13831475681324473,0.8125871993528115,0.8125434398873608,0.7917821339803026,0.7563668145491002
