tick,step_seconds
0,0.004783600568771362
1,0.010871900245547295
2,0.012587900273501873
3,0.014169100672006607
4,0.016134800389409065
5,0.018580700270831585
6,0.016905000433325768
7,0.017056100070476532
8,0.018535000272095203
9,0.01631079986691475
10,0.018616199493408203
11,0.016254400834441185
12,0.01839470025151968
13,0.017326499335467815
14,0.01661080028861761
15,0.017508599907159805
16,0.0157435005530715
17,0.016244799830019474
18,0.017593400552868843
19,0.017870400100946426
20,0.018547600135207176
21,0.01792010013014078
22,0.01738090068101883
23,0.018353300169110298
24,0.017941799946129322
25,0.018327999860048294
26,0.016761300154030323
27,0.016177400015294552
28,0.018475599586963654
29,0.01602760050445795
30,0.018050599843263626
31,0.01616930030286312
32,0.016547000035643578
33,0.01642419956624508
34,0.014991999603807926
35,0.01695340033620596
36,0.018193800002336502
37,0.016977200284600258
38,0.017019100487232208
39,0.016857299953699112
40,0.017294100485742092
41,0.015952699817717075
42,0.016991899348795414
43,0.01665360014885664
44,0.016839600168168545
45,0.017496700398623943
46,0.017326900735497475
47,0.014605499804019928
48,0.017443899996578693
49,0.015343999490141869
